iter	Passed	Remaining
0	169	169346
1	172	86192
2	175	58326
3	177	44175
4	179	35683
5	183	30412
6	186	26408
7	188	23331
8	189	20909
9	191	18959
10	193	17368
11	195	16067
12	197	14965
13	200	14102
14	203	13336
15	205	12612
16	207	11977
17	209	11439
18	212	10964
19	214	10519
20	216	10104
21	218	9709
22	220	9349
23	221	9016
24	223	8729
25	225	8447
26	228	8227
27	230	8006
28	232	7778
29	233	7562
30	235	7362
31	237	7196
32	239	7024
33	242	6885
34	245	6759
35	246	6610
36	248	6466
37	250	6332
38	252	6213
39	253	6090
40	255	5981
41	258	5900
42	260	5796
43	262	5694
44	263	5598
45	265	5514
46	267	5425
47	269	5350
48	272	5294
49	274	5214
50	276	5137
51	277	5064
52	279	5000
53	281	4932
54	283	4865
55	285	4812
56	288	4765
57	289	4706
58	291	4648
59	293	4597
60	295	4542
61	296	4490
62	298	4438
63	301	4411
64	304	4373
65	305	4326
66	307	4285
67	308	4230
68	310	4187
69	312	4146
70	313	4105
71	317	4088
72	320	4072
73	324	4054
74	326	4029
75	329	4002
76	332	3984
77	335	3960
78	337	3931
79	339	3903
80	341	3878
81	345	3862
82	346	3832
83	348	3800
84	349	3766
85	351	3736
86	352	3700
87	354	3672
88	355	3643
89	357	3619
90	360	3598
91	362	3577
92	364	3557
93	366	3531
94	367	3505
95	369	3480
96	371	3459
97	373	3439
98	375	3420
99	377	3399
100	379	3376
101	380	3347
102	381	3326
103	383	3304
104	385	3285
105	387	3265
106	389	3250
107	391	3231
108	392	3211
109	394	3192
110	396	3172
111	397	3153
112	399	3137
113	401	3120
114	403	3102
115	404	3085
116	406	3070
117	408	3054
118	409	3035
119	411	3018
120	413	3002
121	414	2986
122	415	2964
123	417	2948
124	419	2938
125	421	2925
126	423	2911
127	424	2892
128	426	2877
129	428	2864
130	429	2852
131	431	2838
132	433	2824
133	435	2814
134	437	2803
135	439	2789
136	440	2776
137	442	2762
138	444	2751
139	445	2739
140	447	2726
141	449	2716
142	452	2709
143	453	2697
144	455	2685
145	457	2674
146	459	2663
147	460	2652
148	462	2640
149	464	2631
150	466	2622
151	468	2611
152	470	2603
153	472	2597
154	474	2586
155	476	2576
156	477	2565
157	480	2559
158	482	2550
159	484	2541
160	485	2532
161	488	2525
162	490	2516
163	492	2508
164	494	2503
165	497	2499
166	499	2491
167	501	2483
168	503	2474
169	504	2465
170	506	2455
171	508	2447
172	510	2441
173	513	2436
174	515	2430
175	518	2425
176	520	2422
177	524	2420
178	527	2419
179	530	2416
180	531	2406
181	534	2400
182	536	2394
183	539	2392
184	542	2390
185	545	2389
186	547	2382
