iter	Passed	Remaining
0	284	283987
1	286	142870
2	289	96219
3	291	72650
4	293	58446
5	298	49384
6	301	42834
7	306	37944
8	308	33956
9	312	30953
10	315	28366
11	319	26295
12	322	24458
13	326	22985
14	336	22092
15	344	21198
16	347	20103
17	349	19089
18	352	18190
19	354	17375
20	358	16711
21	360	16034
22	363	15427
23	365	14868
24	367	14344
25	370	13862
26	373	13448
27	375	13049
28	377	12651
29	381	12341
30	383	12002
31	386	11680
32	387	11367
33	389	11067
34	391	10783
35	392	10521
36	394	10276
37	396	10041
38	399	9844
39	402	9650
40	406	9509
41	409	9339
42	412	9174
43	415	9034
44	417	8860
45	419	8692
46	421	8540
47	422	8389
48	425	8254
49	428	8148
50	432	8041
51	436	7964
52	440	7872
53	446	7828
54	449	7720
55	452	7623
56	454	7513
57	455	7405
58	459	7330
59	461	7230
60	466	7178
61	468	7092
62	470	7000
63	474	6932
64	476	6851
65	478	6766
66	479	6682
67	481	6599
68	483	6518
69	484	6439
70	486	6362
71	490	6317
72	492	6259
73	495	6201
74	499	6156
75	501	6094
76	503	6037
77	506	5984
78	508	5926
79	510	5868
80	512	5810
81	513	5751
82	514	5686
83	516	5632
84	518	5585
85	520	5536
86	523	5494
87	525	5446
88	528	5410
89	531	5370
90	533	5325
91	535	5286
92	537	5244
93	539	5198
94	541	5153
95	542	5109
96	544	5066
97	545	5024
98	547	4985
99	550	4957
100	552	4921
101	555	4889
102	558	4865
103	560	4831
104	564	4813
105	567	4782
106	568	4748
107	571	4716
108	573	4687
109	575	4655
110	578	4637
111	581	4613
112	584	4586
113	586	4556
114	588	4531
115	591	4507
116	594	4486
117	596	4458
118	598	4430
119	600	4405
120	602	4380
121	604	4350
122	606	4324
123	609	4307
124	611	4283
125	615	4266
126	616	4239
127	619	4219
128	621	4199
129	625	4186
130	628	4168
131	631	4153
132	633	4128
133	635	4104
134	636	4081
135	639	4059
136	641	4038
137	643	4018
138	645	4000
139	647	3977
140	649	3954
141	650	3928
142	653	3917
143	655	3897
144	657	3877
145	659	3855
146	660	3834
147	662	3812
148	663	3791
149	665	3771
150	667	3755
151	670	3738
152	672	3720
153	674	3705
154	676	3686
155	677	3667
156	679	3648
157	681	3630
158	683	3615
159	685	3600
160	687	3580
161	688	3563
162	690	3545
163	692	3528
164	693	3511
165	695	3494
166	697	3479
167	704	3490
168	708	3482
169	711	3476
170	714	3466
171	717	3451
172	719	3438
173	721	3424
174	723	3409
175	725	3394
176	728	3386
177	731	3375
178	734	3367
179	736	3353
180	737	3338
181	739	3323
182	741	3311
183	743	3299
184	745	3284
185	747	3269
186	748	3254
187	750	3241
188	753	3232
189	755	3219
190	757	3207
191	759	3196
192	761	3183
193	763	3170
194	764	3157
195	766	3144
196	768	3130
197	769	3117
198	771	3105
199	773	3095
200	775	3083
201	777	3070
202	778	3057
203	780	3044
204	781	3032
205	783	3020
206	785	3007
207	787	2997
208	789	2986
209	790	2974
210	792	2963
211	794	2951
212	795	2940
213	797	2928
214	799	2917
215	801	2907
216	803	2900
217	805	2888
218	806	2877
219	808	2866
220	810	2855
221	811	2844
222	813	2833
223	814	2822
224	816	2812
225	818	2804
226	820	2794
227	823	2786
228	824	2777
229	827	2769
230	829	2760
231	831	2752
232	833	2743
233	835	2733
234	836	2724
235	839	2717
236	841	2709
237	843	2700
238	844	2690
239	846	2681
240	848	2673
241	850	2664
242	853	2657
243	854	2648
244	856	2639
245	858	2629
246	859	2620
247	861	2612
248	863	2604
249	865	2595
250	867	2587
251	868	2578
252	870	2569
253	871	2560
254	873	2551
255	874	2542
256	876	2535
257	879	2528
258	882	2523
259	884	2516
260	886	2509
261	888	2502
262	893	2503
263	896	2498
264	897	2489
265	899	2482
266	901	2474
267	902	2465
268	904	2457
269	906	2450
270	908	2444
271	910	2437
272	913	2431
273	914	2423
274	917	2417
275	918	2410
276	921	2405
277	923	2398
278	925	2391
279	926	2383
280	928	2375
281	930	2368
282	931	2360
283	933	2352
284	934	2345
285	937	2339
286	939	2333
287	940	2326
288	942	2319
289	944	2312
290	946	2304
291	947	2297
292	949	2290
293	951	2285
294	953	2278
295	955	2271
296	956	2264
297	958	2257
298	959	2250
299	961	2243
300	963	2236
301	964	2230
302	967	2224
303	968	2217
304	970	2211
305	972	2204
306	973	2198
307	975	2192
308	977	2186
309	980	2182
310	982	2176
311	984	2170
312	985	2163
313	987	2157
314	988	2150
315	990	2144
316	992	2137
317	993	2131
318	995	2125
319	997	2120
320	999	2115
321	1001	2109
322	1003	2103
323	1005	2098
324	1007	2093
325	1009	2087
326	1011	2082
327	1013	2077
328	1015	2071
329	1017	2065
330	1018	2059
331	1020	2053
332	1022	2047
333	1024	2042
334	1026	2037
335	1028	2032
336	1030	2026
337	1031	2020
338	1033	2015
339	1035	2009
340	1036	2003
341	1039	1999
342	1041	1994
343	1042	1988
344	1044	1982
345	1045	1976
346	1047	1971
347	1049	1965
348	1050	1959
349	1052	1954
350	1054	1949
351	1055	1943
352	1057	1938
353	1059	1933
354	1060	1927
355	1062	1922
356	1064	1916
357	1065	1911
358	1067	1906
359	1070	1902
360	1071	1897
361	1073	1892
362	1076	1888
363	1078	1884
364	1080	1879
365	1082	1875
366	1085	1872
367	1087	1867
368	1089	1863
369	1091	1857
370	1092	1852
371	1094	1847
372	1096	1842
373	1097	1837
374	1099	1833
375	1101	1828
376	1103	1824
377	1105	1819
378	1107	1814
379	1109	1810
380	1111	1806
381	1113	1802
382	1115	1797
383	1117	1792
384	1119	1787
385	1120	1782
386	1122	1777
387	1123	1772
388	1125	1767
389	1127	1763
390	1129	1759
391	1131	1755
392	1133	1750
393	1134	1745
394	1136	1740
395	1138	1735
396	1139	1731
397	1141	1726
398	1143	1722
399	1145	1718
400	1147	1713
401	1148	1708
402	1150	1704
403	1152	1699
404	1153	1695
405	1155	1690
406	1157	1685
407	1159	1682
408	1161	1677
409	1162	1673
410	1164	1668
411	1165	1664
412	1167	1659
413	1169	1654
414	1170	1650
415	1172	1645
416	1174	1642
417	1176	1637
418	1178	1633
419	1179	1629
420	1181	1624
421	1183	1620
422	1184	1615
423	1186	1612
424	1188	1608
425	1190	1604
426	1192	1600
427	1194	1596
428	1196	1592
429	1199	1589
430	1201	1586
431	1203	1582
432	1205	1578
433	1207	1574
434	1209	1570
435	1210	1566
436	1212	1562
437	1214	1558
438	1217	1555
439	1218	1551
440	1220	1547
441	1222	1542
442	1223	1538
443	1225	1534
444	1226	1530
445	1228	1525
446	1230	1521
447	1232	1518
448	1233	1514
449	1235	1510
450	1237	1506
451	1238	1502
452	1240	1497
453	1242	1493
454	1243	1489
455	1245	1485
456	1247	1482
457	1249	1479
458	1251	1474
459	1253	1471
460	1254	1466
461	1256	1462
462	1257	1458
463	1259	1454
464	1261	1451
465	1263	1447
466	1265	1443
467	1266	1440
468	1268	1436
469	1270	1432
470	1271	1428
471	1273	1424
472	1275	1420
473	1277	1417
474	1279	1413
475	1280	1410
476	1282	1406
477	1284	1402
478	1285	1398
479	1287	1394
480	1288	1390
481	1290	1386
482	1292	1383
483	1295	1380
484	1297	1377
485	1299	1374
486	1301	1371
487	1303	1367
488	1305	1364
489	1308	1361
490	1310	1358
491	1311	1354
492	1313	1350
493	1314	1346
494	1316	1343
495	1317	1339
496	1319	1335
497	1322	1332
498	1323	1328
499	1325	1325
500	1327	1321
501	1328	1318
502	1330	1314
503	1331	1310
504	1333	1307
505	1335	1303
506	1337	1300
507	1339	1297
508	1341	1293
509	1342	1290
510	1344	1286
511	1345	1282
512	1347	1279
513	1349	1275
514	1351	1272
515	1353	1269
516	1354	1265
517	1356	1262
518	1358	1258
519	1359	1255
520	1361	1251
521	1363	1248
522	1364	1244
523	1366	1241
524	1368	1238
525	1370	1234
526	1371	1231
527	1373	1227
528	1375	1224
529	1376	1220
530	1378	1217
531	1379	1213
532	1381	1210
533	1384	1208
534	1386	1205
535	1388	1202
536	1390	1199
537	1392	1196
538	1394	1192
539	1397	1190
540	1399	1187
541	1400	1183
542	1402	1180
543	1404	1177
544	1405	1173
545	1407	1170
546	1408	1166
547	1410	1163
548	1412	1160
549	1414	1157
550	1416	1154
551	1418	1150
552	1420	1148
553	1422	1145
554	1424	1142
555	1426	1139
556	1428	1136
557	1430	1133
558	1432	1129
559	1433	1126
560	1435	1123
561	1436	1119
562	1438	1116
563	1439	1113
564	1442	1110
565	1443	1107
566	1445	1104
567	1448	1101
568	1450	1099
569	1453	1096
570	1455	1093
571	1457	1090
572	1459	1087
573	1460	1084
574	1462	1080
575	1464	1077
576	1465	1074
577	1467	1071
578	1468	1068
579	1471	1065
580	1473	1062
581	1475	1059
582	1476	1056
583	1478	1053
584	1480	1050
585	1481	1046
586	1483	1043
587	1485	1040
588	1488	1038
589	1490	1035
590	1492	1032
591	1494	1029
592	1495	1026
593	1498	1023
594	1499	1020
595	1502	1018
596	1504	1015
597	1506	1012
598	1507	1009
599	1509	1006
600	1510	1003
601	1512	999
602	1514	996
603	1515	993
604	1518	991
605	1519	988
606	1521	985
607	1523	981
608	1524	978
609	1526	975
610	1527	972
611	1529	969
612	1531	966
613	1533	963
614	1534	960
615	1536	958
616	1538	954
617	1540	952
618	1541	949
619	1543	946
620	1545	943
621	1547	940
622	1549	937
623	1550	934
624	1552	931
625	1554	928
626	1555	925
627	1557	922
628	1558	919
629	1560	916
630	1563	914
631	1564	911
632	1566	908
633	1568	905
634	1570	902
635	1572	899
636	1573	896
637	1576	894
638	1578	891
639	1580	888
640	1582	886
641	1584	883
642	1586	880
643	1588	877
644	1590	875
645	1592	872
646	1594	869
647	1596	867
648	1597	864
649	1599	861
650	1601	858
651	1602	855
652	1604	852
653	1606	850
654	1608	847
655	1610	844
656	1611	841
657	1613	838
658	1615	835
659	1616	832
660	1618	829
661	1620	827
662	1622	824
663	1623	821
664	1625	818
665	1627	816
666	1629	813
667	1631	810
668	1632	807
669	1634	805
670	1637	802
671	1638	799
672	1640	796
673	1641	794
674	1643	791
675	1645	788
676	1647	786
677	1649	783
678	1652	781
679	1653	778
680	1655	775
681	1657	772
682	1659	770
683	1660	767
684	1662	764
685	1664	761
686	1666	759
687	1668	756
688	1670	754
689	1672	751
690	1674	748
691	1676	746
692	1678	743
693	1680	740
694	1682	738
695	1684	735
696	1686	732
697	1687	730
698	1689	727
699	1691	724
700	1692	722
701	1695	719
702	1697	717
703	1699	714
704	1700	711
705	1702	708
706	1703	706
707	1705	703
708	1707	700
709	1708	697
710	1710	695
711	1712	692
712	1714	690
713	1716	687
714	1717	684
715	1719	682
716	1721	679
717	1722	676
718	1724	674
719	1726	671
720	1728	668
721	1730	666
722	1731	663
723	1733	660
724	1735	658
725	1736	655
726	1738	652
727	1740	650
728	1742	647
729	1744	645
730	1746	642
731	1747	639
732	1749	637
733	1750	634
734	1752	631
735	1755	629
736	1757	627
737	1758	624
738	1760	621
739	1762	619
740	1763	616
741	1765	613
742	1766	611
743	1768	608
744	1770	606
745	1772	603
746	1775	601
747	1779	599
748	1782	597
749	1786	595
750	1788	593
751	1790	590
752	1792	588
753	1794	585
754	1796	582
755	1798	580
756	1799	577
757	1802	575
758	1804	573
759	1807	570
760	1809	568
761	1811	565
762	1813	563
763	1815	560
764	1817	558
765	1819	555
766	1820	553
767	1822	550
768	1823	547
769	1825	545
770	1826	542
771	1828	540
772	1830	537
773	1832	535
774	1834	532
775	1836	530
776	1838	527
777	1839	524
778	1841	522
779	1842	519
780	1844	517
781	1847	514
782	1848	512
783	1850	509
784	1852	507
785	1853	504
786	1855	502
787	1856	499
788	1858	497
789	1860	494
790	1862	492
791	1864	489
792	1866	487
793	1868	484
794	1871	482
795	1873	480
796	1876	477
797	1878	475
798	1879	472
799	1881	470
800	1882	467
801	1884	465
802	1886	462
803	1887	460
804	1889	457
805	1891	455
806	1893	452
807	1895	450
808	1896	447
809	1898	445
810	1899	442
811	1901	440
812	1903	437
813	1905	435
814	1906	432
815	1908	430
816	1910	427
817	1911	425
818	1913	422
819	1914	420
820	1916	417
821	1918	415
822	1920	413
823	1922	410
824	1924	408
825	1926	405
826	1928	403
827	1930	400
828	1931	398
829	1933	396
830	1936	393
831	1937	391
832	1939	388
833	1941	386
834	1942	383
835	1944	381
836	1945	378
837	1947	376
838	1949	374
839	1951	371
840	1954	369
841	1955	367
842	1958	364
843	1960	362
844	1961	359
845	1963	357
846	1965	355
847	1967	352
848	1969	350
849	1970	347
850	1972	345
851	1974	342
852	1975	340
853	1977	338
854	1979	335
855	1981	333
856	1983	330
857	1985	328
858	1986	326
859	1988	323
860	1989	321
861	1991	318
862	1993	316
863	1995	314
864	1997	311
865	1998	309
866	2000	306
867	2002	304
868	2003	302
869	2005	299
870	2006	297
871	2008	294
872	2011	292
873	2013	290
874	2014	287
875	2016	285
876	2018	283
877	2019	280
878	2021	278
879	2023	275
880	2025	273
881	2027	271
882	2029	268
883	2030	266
884	2032	264
885	2033	261
886	2035	259
887	2037	256
888	2039	254
889	2041	252
890	2043	250
891	2045	247
892	2047	245
893	2048	242
894	2050	240
895	2051	238
896	2054	235
897	2056	233
898	2058	231
899	2060	228
900	2062	226
901	2064	224
902	2066	221
903	2067	219
904	2070	217
905	2072	214
906	2074	212
907	2075	210
908	2077	207
909	2079	205
910	2080	203
911	2082	200
912	2084	198
913	2086	196
914	2087	193
915	2089	191
916	2091	189
917	2094	187
918	2095	184
919	2097	182
920	2099	180
921	2101	177
922	2103	175
923	2105	173
924	2106	170
925	2108	168
926	2110	166
927	2111	163
928	2113	161
929	2115	159
930	2117	156
931	2119	154
932	2120	152
933	2122	149
934	2123	147
935	2125	145
936	2127	143
937	2128	140
938	2131	138
939	2133	136
940	2134	133
941	2136	131
942	2138	129
943	2139	126
944	2141	124
945	2143	122
946	2145	120
947	2147	117
948	2149	115
949	2151	113
950	2153	110
951	2155	108
952	2157	106
953	2159	104
954	2161	101
955	2164	99
956	2166	97
957	2168	95
958	2171	92
959	2173	90
960	2175	88
961	2176	85
962	2178	83
963	2180	81
964	2181	79
965	2183	76
966	2184	74
967	2186	72
968	2188	70
969	2190	67
970	2192	65
971	2194	63
972	2195	60
973	2197	58
974	2199	56
975	2200	54
976	2203	51
977	2205	49
978	2206	47
979	2208	45
980	2210	42
981	2211	40
982	2213	38
983	2214	36
984	2216	33
985	2218	31
986	2220	29
987	2222	26
988	2224	24
989	2225	22
990	2227	20
991	2229	17
992	2230	15
993	2232	13
994	2235	11
995	2237	8
996	2238	6
997	2240	4
998	2241	2
999	2243	0
